end1;end2;end3;end4;end5;name;label;data_type;address;access;comment
{"enabled":true,"status":"unknown"};{"enabled":true,"status":"unknown"};{"enabled":true,"status":"unknown"};{"enabled":true,"status":"unknown"};{"enabled":false,"status":"unknown"};cycle_id;key;float;DB1.DBB.0;read;Progressive Cycle Number (Cyclic from 1 to 9999) [#]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};shaft_combustion;production;float;;read;Shaft in Combustion [#]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};cycle_time;time;float;;read;Cycle Time [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};combustion_time;time;float;;read;Combustion Time [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};inversion_time;time;float;;read;Inversion Time [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};cycle_disabled_time;time;float;;read;Time Cycle Disabled [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};fuel_supply_time;time;float;;read;Time Fuel Supply [s]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};limestone_cycle;production;float;;read;Limestone for Cycle - Process Value [kg/cycle]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};limestone_cycle_setpoint;production;float;;read/write;Limestone for Cycle - Setpoint [kg/cycle]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};lime_cycle;production;float;;read;Lime for Cycle [kg/cycle]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};nominal_prod;production;float;;read;Nominal Production [tpd]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};heat_consumption;fuel;float;;read;Heat Consumption [kcal/kg]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};heat_consumption_setpoint;fuel;float;;read/write;Heat Consumption - Setpoint [kcal/kg]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};fuel_cycle;fuel;float;;read;Fuel for Cycle - Process Value [Nm�/cycle]
{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};{"enabled":false,"status":"unknown"};fuel_cycle_setpoint;fuel;float;;read/write;Fuel for Cycle - Setpoint [Nm�/cycle]
